review,rating,sentiment,review_processed,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
wes pokoke tokped joss ra maen2,5,2,wes pokoke joss ra maen,19,2.0,0.4975,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['wes', 'pokoke', 'joss', 'ra', 'main']"
"Saya beli pelatihan di HelloMotion "" DASAR DESAIN GRAFIS UNTUK SEGALA PROFESI (DESAIGN FUNDAMENTALS) ""melalui Tokopedia, Materi pelatihannya sangat membantu dan memuaskan, Terimakasih Tokopedia, HelloMotion & Program Kartu Prakerja yg telah bekerja sama untuk memberikab pelatihan ini, semoga semakin maju!",5,2,beli latih hellomotion dasar desain grafis profesi desaign fundamentals tokopedia materi latih tokopedia hellomotion program kartu ikab latih maju,20,1.0,0.8942,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['beli', 'latih', 'hellomotion', 'dasar', 'desain', 'grafis', 'profesi', 'desaign', 'fundamentals', 'aplikasi', 'materi', 'latih', 'aplikasi', 'hellomotion', 'program', 'kartu', 'ikab', 'latih', 'maju']"
Belanja gampang dan amanah ya D shopee,5,2,belanja gampang amanah shopee,21,1.0,0.7113,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['belanja', 'gampang', 'amanah', 'aplikasi']"
Saya pengguna baru di shoppe.. Dan jualan juga baru.. Smoga shoppe bisa melancarkan bisnis keripik ku.. Aminnn.. Trimakasih shoppe,5,2,shoppe jual smoga shoppe lancar bisnis keripik aminnn shoppe,22,0.0,0.6834,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['shoppe', 'jual', 'smoga', 'shoppe', 'lancar', 'bisnis', 'keripik', 'aminnn', 'shoppe']"
Bagaimana caranya saya  mau blanja tda tau caranysa tolong kasih tau doong,5,2,blanja tda tau caranysa tolong tau doong,23,0.0,0.745,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['belanja', 'tda', 'tahu', 'caranysa', 'tolong', 'tahu', 'doong']"
Murahx nagih bgt,5,2,murahx nagih,24,0.0,0.25,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['murahx', 'nagih']"
Paling bagusss diduniaa������������,5,2,bagusss diduniaa,25,2.0,0.9712,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['bagusss', 'diduniaa']"
Kenapa lemot banget aplikasinya,4,2,lot aplikasi,26,0.0,0.9853,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['lemot', 'aplikasi']"
"Saya telah menyelesaikan pelatihan di skill academy by ruang guru melalui pembelian dr aplikasi Tokopedia. Ilmu nya sangat bermanfaat sekali. Thanks Tokopedia,Skill academy by ruang guru dan prakerja. Sukses selalu",5,2,latih skill academy by ruang guru beli aplikasi tokopedia ilmu tokopedia skill academy by ruang guru sukses,27,1.0,0.6111,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['latih', 'skill', 'academy', 'by', 'ruang', 'guru', 'beli', 'aplikasi', 'aplikasi', 'ilmu', 'aplikasi', 'skill', 'academy', 'by', 'ruang', 'guru', 'sukses']"
edit tanggal lahir kok susah ya.. coz wktu pertama daftar kliru ngetik. udah aq edit tpi msih saja gk bisa/kembali lgi. perlu ditingkatkan neeh,5,2,edit lahir susah wktu daftar kliru ngetik edit tpi msih tingkat neeh,28,0.0,0.6414,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['edit', 'lahir', 'susah', 'wktu', 'daftar', 'kliru', 'ngetik', 'edit', 'tapi', 'msih', 'tingkat', 'neeh']"
Sangat senang membeli pelatihan disini. mudah untuk saya bertransaksi disini. saya harap sertifikat pelatihan saya segera dikirimkan ke Dashboard akun prakerja saya. terima kasih Tokopedia,5,2,beli latih mudah transaksi harap sertifikat latih kirim dashboard akun tokopedia,29,1.0,0.563,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['beli', 'latih', 'mudah', 'transaksi', 'harap', 'sertifikat', 'latih', 'kirim', 'dashboard', 'akun', 'aplikasi']"
Sangat menyenangkan pengalaman berbelanja di TokoPedia,5,2,alam belanja tokopedia,30,1.0,0.9901,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['alam', 'belanja', 'aplikasi']"
Baru pertama belanja mudah2an amanah,4,2,belanja mudah amanah,31,1.0,0.6378,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['belanja', 'mudah', 'amanah']"
Proses cepat,5,2,proses cepat,32,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['proses', 'cepat']"
"Terimakasih toko pedia, sangate membantu, aplikasi belanja terbaik dan terpercaya.",5,2,toko sangate aplikasi belanja percaya,33,1.0,0.6712,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['toko', 'sangate', 'aplikasi', 'belanja', 'percaya']"
"Luar biasa alhamdulillah smg berkah tur aman belanja d toko pedia, oy nih dapat hadiah uang 300rb dr tokopedia, gmn cara ngambilx mohon penjelasanx",5,2,smg berkah tur aman belanja toko oy hadiah uang rb tokopedia gmn ngambilx penjelasanx,34,0.0,0.4184,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['smg', 'berkah', 'tur', 'aman', 'belanja', 'toko', 'oy', 'hadiah', 'uang', 'ribu', 'aplikasi', 'gmn', 'ngambilx', 'penjelasanx']"
Aplikasi ini sangat membatu di kala PPKM ini,5,2,aplikasi batu ppkm,35,1.0,0.9853,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['aplikasi', 'batu', 'ppkm']"
Gratis ongkir di perbanyak dong,4,2,gratis ongkir,36,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['gratis', 'ongkir']"
Kta nya gratis ongkir. Ko bayar jga ongkir nya. ��,5,2,kta gratis ongkir bayar ongkir,37,3.0,0.7956,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['kta', 'gratis', 'ongkir', 'bayar', 'ongkir']"
muka haje difoto atas kenapa woi����,5,2,muka haje foto,38,2.0,0.9712,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['muka', 'haje', 'foto']"
Belanja di shopee aman dan ada garansi,5,2,belanja shopee aman garansi,39,1.0,0.9901,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['belanja', 'aplikasi', 'aman', 'garansi']"
"Mantap,saya telah menyelesaikan pelatihan membuat masker melawan corona,tapi saya minta tolong kenapa sertifikat belum muncul ke dashboard padahal di skill academy sudah dikirim ke bukalapak,terima kasih",5,2,latih masker lawan corona tolong sertifikat muncul dashboard skill academy kirim bukalapak,40,1.0,0.5265,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['latih', 'masker', 'lawan', 'corona', 'tolong', 'sertifikat', 'muncul', 'dashboard', 'skill', 'academy', 'kirim', 'aplikasi']"
"setiap saya belanja di jd id barang pasti ori. sudah barang ori di antar smpai rumah, gk ribet keluar rumah ��",5,2,belanja barang ori barang ori smpai rumah ribet rumah,41,2.0,0.5763,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['belanja', 'barang', 'asli', 'barang', 'asli', 'smpai', 'rumah', 'ribet', 'rumah']"
