review,rating,sentiment,review_processed,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
Kenapa Anda mengambil informasi daripapan ketik kami?? Bagaimana jika informasi kami bocor,1,0,ambil informasi daripapan ketik informasi bocor,268,3.0,0.7596,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['ambil', 'informasi', 'daripapan', 'ketik', 'informasi', 'bocor']"
Gw dpt vocer dr google katanya bs di clam di toko pedia dan suruh download selesai download vocernya g da.apes dah.��seneng seneng bs beli baju buat lebaran eh Gatot.,1,0,vocer google clam toko suruh download download vocernya da apes neng neng beli baju lebaran gatot,269,3.0,0.3929,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['voucher', 'google', 'clam', 'toko', 'suruh', 'unduh', 'unduh', 'vocernya', 'da', 'sial', 'neng', 'neng', 'beli', 'baju', 'lebaran', 'gatot']"
Katanya 8.8 bisa gratis ongkir minimal belanja Rp.0 gataunya cuman 5K gratis ongkir. Harus belanja 20K dulu baru bisa dapat 40K gratis ongkir. Lebih kasihan yang di luar pulau jawa lebih banyak lagi ongkirnya. Gak work it jadinya walaupun punya voucher banyak.,1,0,gratis ongkir minimal belanja rp gataunya cuman gratis ongkir belanja gratis ongkir kasihan pulau jawa ongkirnya work it voucher,270,3.0,0.7291,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['gratis', 'ongkir', 'minimal', 'belanja', 'rp', 'gataunya', 'cuman', 'gratis', 'ongkir', 'belanja', 'gratis', 'ongkir', 'kasihan', 'pulau', 'jawa', 'ongkir', 'work', 'it', 'voucher']"
Parah parah makin parah buka lapak kalo takut di salah gunakan limit pay letter mending ga usah ada payleter buka lapak. Ingat tidak semua orang yang menyala gunakan limit.bikin ribet aja,1,0,takut salah limit pay letter mending payleter nyala limit bikin ribet,271,3.0,0.3883,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['takut', 'salah', 'limit', 'bayar', 'letter', 'lebih baik', 'payleter', 'nyala', 'limit', 'bikin', 'ribet']"
"Ini skrg shoope ko eror ya. Mau belanja banyak , mau milih² model lain. Tapi ko belanjaan saya ga masuk ke keranjang dari kemarin kemarin. Masa bisanya belanja hanya satu doank .. Pdhl mau belanja banyak di satu toko. Jdi ga bisa milih² yg lain jdinya. Malas belanja jdinya kalo gitu...tlong donk ko bisa begitu sih...",1,0,skrg shoope eror belanja milih model belanja keranjang kemarin kemarin belanja pdhl belanja toko milih jdinya malas belanja jdinya tlong,272,3.0,0.3898,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['sekarang', 'shoope', 'eror', 'belanja', 'milih', 'model', 'belanja', 'keranjang', 'kemarin', 'kemarin', 'belanja', 'pdhl', 'belanja', 'toko', 'milih', 'jdinya', 'malas', 'belanja', 'jdinya', 'tlong']"
saya mau beli malah kaya gini: tukang blibli:mau pesen sapatunya saya:gak tukang sepatu: harusssss!!! saya:y udah berapa tukang sepatu:30 juta saya: anjing!!! saya gak beli masa dipaksa beli babi amat dah,1,0,beli kaya gin tukang blibli sen sapatunya tukang sepatu harusssss tukang sepatu juta beli paksa beli,273,3.0,0.4653,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['beli', 'kaya', 'gin', 'tukang', 'aplikasi', 'sen', 'sapatunya', 'tukang', 'sepatu', 'harusssss', 'tukang', 'sepatu', 'juta', 'beli', 'paksa', 'beli']"
"Lemotnya pakai bgt, pesen makan aja nunggu lama yg keluar layar putih saja. Mending grabfood deh lancar jaya. Juga msh murah di grabfood. Nyesel udah top up saldo di shopee ������",1,0,lot pakai sen makan nunggu layar putih mending grabfood lancar jaya msh murah grabfood up saldo shopee,274,3.0,0.5182,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['lemot', 'pakai', 'sen', 'makan', 'tunggu', 'layar', 'putih', 'lebih baik', 'grabfood', 'lancar', 'jaya', 'masih', 'murah', 'grabfood', 'up', 'saldo', 'aplikasi']"
"Mau Posting Jualan Aja harus verifikasi KTP, makin lama kok makin ribet sih... Auto Uninstall",1,0,posting jual verifikasi ktp ribet auto uninstall,275,0.0,0.8295,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['posting', 'jual', 'verifikasi', 'ktp', 'ribet', 'auto', 'uninstall']"
"pesanan dibatalkan gajelaz, padahal benar2 pengguna baru",1,0,pesan batal gajelaz,276,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['pesan', 'batal', 'gajelaz']"
"Paket belum sampe maen konfirmasi aja, kurirnya juga gak ada konfirmasi lewat wa. Tau dah sekarang paketnya di siapa ��",1,0,paket sampe maen konfirmasi kurir konfirmasi wa tau paket,277,3.0,0.9967,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['paket', 'sampai', 'main', 'konfirmasi', 'kurir', 'konfirmasi', 'whatsapp', 'tahu', 'paket']"
Satu aj karna saya kecewa gara2 tokped saldo prakerja saya angus. Alesan tokped sakit mulu gk sembuh2.semoga di terima di sisinya. Bagi yg punya app tokped uninstal aja buat apa app gk bermutu,1,0,gara saldo angus alesan sakit mulu sembuh sisi app uninstal app mutu,278,0.0,0.613,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['gara', 'saldo', 'angus', 'alesan', 'sakit', 'melulu', 'sembuh', 'sisi', 'aplikasi', 'uninstal', 'aplikasi', 'mutu']"
Susah login.. Harus verifikasi wajah.. Gak jelas shopper ni lama lama !!!,1,0,susah login verifikasi wajah shopper,279,0.0,0.9901,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['susah', 'login', 'verifikasi', 'wajah', 'shopper']"
saya dh perap x belnja di JD.ID selalu COD tapi sekarng ko dh ga lagih saya kecewa jdi nyh,1,0,dh perap belnja cod sekarng dh lagih nyh,280,3.0,0.745,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['dh', 'perap', 'belnja', 'cod', 'sekarng', 'dh', 'lagih', 'nyh']"
"Tokped reseh, saldo ga bisa ditarik, susah ditarik, dipake buat belanja susah, maaf sebenarnya senang belanja di tokped, krn kecewa saya delele.. Maafkan.. Ganti apk lain aja ya. Tq.. Masukan aja nih, di apk lain , sisa saldo bebas buat belanja barang 2 yg lain, bahkan jika lebih mahal tinggal bayar selisihnya, disini berbelit2.. Cape ah",1,0,reseh saldo tarik susah tarik dipake belanja susah maaf belanja delele maaf ganti apk apk sisa saldo bebas belanja barang mahal tinggal bayar selisih belit cape,281,3.0,0.4651,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['reseh', 'saldo', 'tarik', 'susah', 'tarik', 'dipake', 'belanja', 'susah', 'maaf', 'belanja', 'delele', 'maaf', 'ganti', 'aplikasi', 'aplikasi', 'sisa', 'saldo', 'bebas', 'belanja', 'barang', 'mahal', 'tinggal', 'bayar', 'selisih', 'belit', 'capek']"
"Di update malah jd error, setelah bayar biasanya ada menunggu konfirmasi, ini mah ga ada.. Jd ga bisa ngontak penjual.. Coba cek aja sendiri klo ga percaya..",1,0,update error bayar tunggu konfirmasi ngontak jual cek percaya,282,0.0,0.3975,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['update', 'error', 'bayar', 'tunggu', 'konfirmasi', 'ngontak', 'jual', 'cek', 'percaya']"
"shopee Sekarang kok nggak bisa di download ya? Padahal dulu sebelum saya hapus, masih bisa didownload dengan lancar. Ini gimana sih",2,0,shopee download hapus didownload lancar,283,0.0,0.994,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['aplikasi', 'unduh', 'hapus', 'didownload', 'lancar']"
"Sekarang terlalu sering minta update.. krn gadgetnya jg udah hampir full memorinya, sering gagal update.. jdnya sekarang sy sering batal belanja di toped, soalnya ada bbrp fitur yg wajib kudu mesti update dl..",2,0,update gadgetnya jg full memori gagal update jdnya batal belanja fitur wajib kudu mesti update dl,284,0.0,0.6263,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['update', 'gadgetnya', 'juga', 'full', 'memori', 'gagal', 'update', 'jdnya', 'batal', 'belanja', 'fitur', 'wajib', 'harus', 'mesti', 'update', 'dl']"
Aku udah berapa kli belanja online menggunakan aplikasi ini cuma sering mengecewakan barang pesanan tidak sesuai yg aku terima cuma satu ajh yg bener real pict tolong dong klo penjual yg gk amanah atau menipu konsumen jgn di masukan ke aplikasi ini.. Jd cemarkn nama baik penjual yg lainnya,1,0,kli belanja online aplikasi barang pesan sesuai ajh bener real pict tolong jual amanah tipu konsumen jgn aplikasi cemarkn nama jual,285,2.0,0.8293,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['kli', 'belanja', 'online', 'aplikasi', 'barang', 'pesan', 'sesuai', 'ajh', 'benar', 'real', 'pict', 'tolong', 'jual', 'amanah', 'tipu', 'konsumen', 'jangan', 'aplikasi', 'cemarkn', 'nama', 'jual']"
Susah banget upgrednya,1,0,susah upgrednya,286,0.0,0.9712,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['susah', 'upgrednya']"
"Woiii lazada mana saldo credit saya knp saya gk buka lazada credit,udh 3 hari menunggu",1,0,lazada saldo credit lazada credit tunggu,287,2.0,0.5642,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['aplikasi', 'saldo', 'credit', 'aplikasi', 'credit', 'tunggu']"
"Gmn ni ane kagak bisa apa habis apdet, kacau bah",2,0,gmn habis apdet kacau bah,288,0.0,0.745,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['gmn', 'habis', 'apdet', 'kacau', 'bah']"
beri bintang 1 dulu klo bagus aplikasi ini nanti ku beri bintang 5,1,0,bintang aplikasi bintang,289,0.0,0.9901,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['bintang', 'aplikasi', 'bintang']"
Buat semua warga jangan pake aplikasi ini ga bagus buang buang duit hapus Shopee,1,0,warga pake aplikasi buang buang duit hapus shopee,290,0.0,0.7981,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['warga', 'pakai', 'aplikasi', 'buang', 'buang', 'duit', 'hapus', 'aplikasi']"
"Udah 2 kali ini ngalamin trouble pembayaran,..padahal saldo shopee pay msh byk,... Jangan sampai yang ke 3 kalinya!!!",1,0,ngalamin trouble bayar saldo shopee pay msh,291,3.0,0.6137,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['ngalamin', 'trouble', 'bayar', 'saldo', 'aplikasi', 'bayar', 'masih']"
"Kecewa banget, pertama top up 50rb via Mobile banking, dan ngak masuk2 saldonya, terus top up 50k lagi dan ngk masuk lagi, karena penasaran top up lagi 10k dan ngak masuk juga, makan tuh 110K,",1,0,up rb via mobile banking saldo up ngk penasaran up makan,292,3.0,0.8836,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['up', 'ribu', 'via', 'mobile', 'banking', 'saldo', 'up', 'ngk', 'penasaran', 'up', 'makan']"
Srring ganguan dan gratis ongkir gak bisa di pake padahal memeber pelatinum,1,0,srring ganguan gratis ongkir pake memeber pelatinum,293,3.0,0.9901,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['srring', 'ganguan', 'gratis', 'ongkir', 'pakai', 'memeber', 'pelatinum']"
"app ny suka autostart pas hp nyala, bikin hp panas & boros kuota cuma buat fitur notif yg bikin jengkel, mending uninstall+gunain tokped versi web.",1,0,app ny autostart pas hp nyala bikin hp panas boros kuota fitur notif bikin jengkel mending uninstall gunain versi web,294,0.0,0.5681,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['aplikasi', 'ny', 'autostart', 'pas', 'handphone', 'nyala', 'bikin', 'handphone', 'panas', 'boros', 'kuota', 'fitur', 'notif', 'bikin', 'jengkel', 'lebih baik', 'uninstall', 'gunain', 'versi', 'web']"
Ongkirnya mah tinggi pisan luar jawa,1,0,ongkirnya pis jawa,295,0.0,0.3322,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['ongkir', 'pis', 'jawa']"
"Kecewa udah member lama dapet limit Spaylater cuma 100 ribu, padahal yang member baru ampe jutaan, layanan macam apa ini",1,0,member limit spaylater ribu member ampe juta layan,296,1.0,0.4983,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['member', 'limit', 'spaylater', 'ribu', 'member', 'ampe', 'juta', 'layan']"
"Jelek.... Waktu gw klik transaksi pembayaran trnyata ga bisa COD,, ya klo udh byar brg langsung sampai,, klo g sampai kan merugikan,, jelek... ������ nyesel gw download... Asyik blnja lewat Lazada bs cod brg pun sesuai pesanan.",1,0,klik transaksi bayar trnyata cod byar brg rugi download blnja lazada cod brg sesuai pesan,297,3.0,0.9052,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['klik', 'transaksi', 'bayar', 'trnyata', 'cod', 'bayar', 'bareng', 'rugi', 'unduh', 'blnja', 'aplikasi', 'cod', 'bareng', 'sesuai', 'pesan']"
Sangat buruk akun terblokir tidak bisa bertransaksi,1,0,akun blokir transaksi,298,0.0,0.9901,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['akun', 'blokir', 'transaksi']"
Saya punya voucher 1000000 kenapa gak bisa digunakan saya kecewa dengan aplikasi ini lebih baik di uninstal,1,0,voucher aplikasi uninstal,299,0.0,0.513,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['voucher', 'aplikasi', 'uninstal']"
Klik beli kok gak bisa aplikasi apaan,1,0,klik beli aplikasi,300,0.0,0.5275,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['klik', 'beli', 'aplikasi']"
"Produk memang ori pengiriman memang cepat, terhitung sudah 4 x beli TV pengirimannya cepat, tapi sayang pembelian yg ke 5 di batalkan pihak tok. yg bikin kesel pengembalian dana lama banget, dah hampir lebih dari seminggu dana belum masuk uang nya juga lumayan gede hampi 2 juta. gak kaya tokopedia, atau shopee pengembalian dana otomatis masuk ketika ada pembatalan transaksi. cuma 1 kali cs. jd.id ngirim e-mail. sampai sekarang belum ada kejelasan. tolong JD.ID proses pengembalian dana di percep",2,0,produk ori kirim cepat hitung beli tv kirim cepat sayang beli batal tok bikin kesel dana minggu dana uang gede hampi juta kaya tokopedia shopee dana otomatis batal transaksi cs ngirim mail tolong proses dana percep,301,3.0,0.8716,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['produk', 'asli', 'kirim', 'cepat', 'hitung', 'beli', 'tv', 'kirim', 'cepat', 'sayang', 'beli', 'batal', 'tok', 'bikin', 'kesel', 'dana', 'minggu', 'dana', 'uang', 'gede', 'hampi', 'juta', 'kaya', 'aplikasi', 'aplikasi', 'dana', 'otomatis', 'batal', 'transaksi', 'customer service', 'ngirim', 'mail', 'tolong', 'proses', 'dana', 'percep']"
Ktanya dapet promo gratis ongkir tapi ga ada yg bisa di pake,1,0,ktanya promo gratis ongkir pake,302,3.0,0.7776,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['ktanya', 'promo', 'gratis', 'ongkir', 'pakai']"
"Masaa pengguna baru dibuat susah banget mengatur alamat? Ngebug lagi pas sdh ngisi alamat, kurang lengkap lahh karakternya....hadehh kecewa",1,0,masaa susah atur alamat ngebug pas ngisi alamat lengkap lahh karakter hadehh,303,0.0,0.5341,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['masaa', 'susah', 'atur', 'alamat', 'ngebug', 'pas', 'mengisi', 'alamat', 'lengkap', 'lahh', 'karakter', 'hadehh']"
Serius saya dapat hadiah dari tokopedia? Apakah notifikasi yg saya terima bener2 dari tokopedia/orang yg niat mau nipu sih?,1,0,serius hadiah tokopedia notifikasi bener tokopedia niat nipu,304,0.0,0.5965,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['serius', 'hadiah', 'aplikasi', 'notifikasi', 'benar', 'aplikasi', 'niat', 'tipu']"
Semoga sertifikat saya keluar saya kasih rating 5 nanti,2,0,sertifikat rating,305,0.0,0.4951,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['sertifikat', 'rating']"
"hadiah Credit gift card saya tiba-tiba hangus, dan tidak bisa dipakai karena pindah ke saldo bukadompet.",2,0,hadiah credit gift card hangus pakai pindah saldo bukadompet,306,0.0,0.5054,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['hadiah', 'credit', 'gift', 'card', 'hangus', 'pakai', 'pindah', 'saldo', 'bukadompet']"
terlalu besar kuota datanya..,1,0,kuota data,307,0.0,0.4951,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['kuota', 'data']"
update terus tapi malah makin lemot..buka yg lain wuzz buka shope berasa balapan keong,1,0,update lot wuzz shope asa balap keong,308,0.0,0.4975,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['update', 'lemot', 'wuzz', 'shope', 'asa', 'balap', 'keong']"
Knapa di number kreditnya ga bisa2?,1,0,number kredit,309,0.0,0.4951,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['number', 'kredit']"
"Tolong di tindak lanjut, banyak yang penipu di lazada barang gak sesuai pesanan, contoh aku pesan a tapi yang di kasih b",1,0,tolong tindak tipu lazada barang sesuai pesan contoh pesan,310,3.0,0.5897,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['tolong', 'tindak', 'tipu', 'aplikasi', 'barang', 'sesuai', 'pesan', 'contoh', 'pesan']"
Banyak iklan bacot,1,0,iklan bacot,311,0.0,0.9853,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['iklan', 'bacot']"
Parah di tawran paylater diaktifkan... Tapi setelah aktif gak bisa digunakan PHP doang nih,1,0,tawran paylater aktif aktif php,312,0.0,0.9926,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['tawran', 'paylater', 'aktif', 'aktif', 'php']"
Saya kesel deh masa ngedownlod ga bisa si uda hapus apa aja kok ga bisa si asalnya saya kasih bintang lima eh pas ngedownlod ga bisa,2,0,kesel ngedownlod uda hapus bintang pas ngedownlod,313,0.0,0.5286,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['kesel', 'ngedownlod', 'uda', 'hapus', 'bintang', 'pas', 'ngedownlod']"
Shopee kontol cicing Gede,1,0,shopee cicing gede,314,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['aplikasi', 'cicing', 'gede']"
"Sebetulnya enak sih pengiriman gratis, cuman kalo sampe 7 hari kemudian gak ada tanda tanda barang sdh dikirim ya sama aja bro mending gua bayar dah ongkirnya asal cepat...masak pesen dari tanggal 20 Agustus sampai tanggal 27 Agustus statusnya masih menunggu pengambilan kurir....waduhhhh...",2,0,kirim gratis cuman sampe tanda tanda barang kirim mending bayar ongkirnya cepat masak sen agustus agustus status tunggu ambil kurir,315,3.0,0.9981,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['kirim', 'gratis', 'cuman', 'sampai', 'tanda', 'tanda', 'barang', 'kirim', 'lebih baik', 'bayar', 'ongkir', 'cepat', 'masak', 'sen', 'agustus', 'agustus', 'status', 'tunggu', 'ambil', 'kurir']"
Kenapa lazada ngk bisa cod saya bingung emang karena apa,1,0,lazada ngk cod bingung,316,3.0,0.5471,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['aplikasi', 'ngk', 'cod', 'bingung']"
"Mau daftar aja ribet + gak bisa2, waktu habis, padahal internet terhubung.. hmmm uninstal aja apa yah",1,0,daftar ribet habis internet hubung hmmm uninstal,317,0.0,0.7993,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['daftar', 'ribet', 'habis', 'internet', 'hubung', 'hmmm', 'uninstal']"
"Penipuan,bukan barang yang kita beli sampai",1,0,tipu barang beli,318,2.0,0.9901,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['tipu', 'barang', 'beli']"
Katanya dpet 500000 mana ga adaa penipu nihhhh !!! Sering bgt kaya gini,1,0,dpet adaa tipu nihhhh kaya gin,319,3.0,0.6058,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['dpet', 'adaa', 'tipu', 'nihhhh', 'kaya', 'gin']"
"Tiap narik saldo penjual ke shopee pay kenapa suka lama yah, ga yg instan gitu, padahal kan mau dipake buat bayar belanjaan ��",2,0,narik saldo jual shopee pay instan dipake bayar belanja,320,3.0,0.8407,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['narik', 'saldo', 'jual', 'aplikasi', 'bayar', 'instan', 'dipake', 'bayar', 'belanja']"
Parahhh..tiap blanja pngirimannya teledor sampe hampir 2minggu ..seller jg bnyak yg gk amanah,1,0,parahhh blanja pngirimannya teledor sampe minggu seller jg bnyak amanah,321,3.0,0.6417,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['parahhh', 'belanja', 'pngirimannya', 'teledor', 'sampai', 'minggu', 'seller', 'juga', 'bnyak', 'amanah']"
Banyakin gratis ongkir dong,1,0,banyakin gratis ongkir,322,3.0,0.9901,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['banyakin', 'gratis', 'ongkir']"
Kok aplikasi nyo setelah update susah d buka yaa... keluar² teruss...,2,0,aplikasi nyo update susah teruss,323,0.0,0.9901,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['aplikasi', 'nyo', 'update', 'susah', 'teruss']"
Limit shopee paylater berkurang,1,0,limit shopee paylater,324,1.0,0.6023,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['limit', 'aplikasi', 'paylater']"
"Saya Kasih bintang 2 dulu,aplikasi nya bagus banyak diskon,tapi tetap ada yg membuat saya tidak nyaman,yaitu iklan sampean di google,saya mau download itu malah menuju ke Lazada nggak di Link download nya��",2,0,bintang aplikasi diskon iklan sampean google download lazada link download,325,0.0,0.8772,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['bintang', 'aplikasi', 'diskon', 'iklan', 'sampean', 'google', 'unduh', 'aplikasi', 'link', 'unduh']"
"Kecewa si, masa saya mau beli barang udh bayar make promo tpi malah di refund mau beli lagi tpi uang di gopay , mau aktifin gopay,pas di pencet blank melulu, Audah serah",1,0,beli barang bayar make promo tpi refund beli tpi uang gopay aktifin gopay pas pencet blank melulu audah serah,326,3.0,0.714,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['beli', 'barang', 'bayar', 'pakai', 'promo', 'tapi', 'refund', 'beli', 'tapi', 'uang', 'ewallet', 'aktifin', 'ewallet', 'pas', 'pencet', 'blank', 'melulu', 'audah', 'serah']"
Cs kurang fast respon,1,0,cs fast respon,327,3.0,0.9901,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['customer service', 'fast', 'respon']"
Kepentingan sepihak dari tokopedia merugikan banyak pihak.. #merasa kecewa,1,0,tokopedia rugi,328,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['aplikasi', 'rugi']"
Kenapa disaat saya mengunduh tokopedia tak bisa sedangkan apk lain bisa di unduh!!!,1,0,unduh tokopedia apk unduh,329,0.0,0.9926,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['unduh', 'aplikasi', 'aplikasi', 'unduh']"
Baik nya cashback kembalikan seperti dulu bukan ke gopay coins,1,0,cashback gopay coins,330,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['cashback', 'ewallet', 'coins']"
"Mantap, makin lama pelayanan nya semangkin jelek",1,0,layan semangkin,331,2.0,0.9712,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['layan', 'semangkin']"
Sangat kecewa dengan lazada dan seller. Saya pesan speaker bluetooth yg datang malah holder tempelan gurita. Seller dichat gak ada respon Mengajukan pengembalian dana di lazada (terjadi kesalahan) dan itu trus menerus. Inikah yg namanya penipuan.,1,0,lazada seller pesan speaker bluetooth holder tempel gurita seller dichat respon aju dana lazada salah nama tipu,332,3.0,0.7831,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['aplikasi', 'seller', 'pesan', 'speaker', 'bluetooth', 'holder', 'tempel', 'gurita', 'seller', 'dichat', 'respon', 'aju', 'dana', 'aplikasi', 'salah', 'nama', 'tipu']"
"Belanja aman, dan barang tidak neko neko",1,0,belanja aman barang neko neko,333,2.0,0.994,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['belanja', 'aman', 'barang', 'neko', 'neko']"
Pengirimannya lambat sekali padahan katanya 2- 5 hari tapi nyatanya seminggu baru nyampe,1,0,kirim lambat padah minggu nyampe,334,3.0,0.9926,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['kirim', 'lambat', 'padah', 'minggu', 'nyampe']"
Enakan sebelah shope ama tokopedia kalo di sini di kirim malah barang rusak,1,0,belah shope tokopedia kirim barang rusak,335,3.0,0.995,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['belah', 'shope', 'aplikasi', 'kirim', 'barang', 'rusak']"
Hilangin lah anj iklannya ngeselin iklan gajelas tomlol,1,0,hilangin iklan ngeselin iklan gajelas tomlol,336,0.0,0.7245,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['hilangin', 'iklan', 'ngeselin', 'iklan', 'gajelas', 'tomlol']"
Jd.id sekarang kurang memuaskan...belanja pakai acara dibatas. Ongkir sekarang mahal Voucher sudah jarang,1,0,belanja pakai acara batas ongkir mahal voucher jarang,337,3.0,0.866,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['belanja', 'pakai', 'acara', 'batas', 'ongkir', 'mahal', 'voucher', 'jarang']"
"Say jg sering belanja yg tulisannya bebas ongkir, tpi tetap saja ongkir nya bayar terus,,,",1,0,say jg belanja tulis bebas ongkir tpi ongkir bayar,338,3.0,0.7502,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['say', 'juga', 'belanja', 'tulis', 'bebas', 'ongkir', 'tapi', 'ongkir', 'bayar']"
Aplikasi bagus. Tapi tetap hati2 ya ada beberapa pedagang yg nakal. Kualitas barang buruk tapi di kirim jugs. Saat di komplain pihak shopee lebih berpihak ke penjual. Hati2 ya gaessss....,1,0,aplikasi hati dagang nakal kualitas barang kirim jugs komplain shopee jual hati gaessss,339,2.0,0.6682,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['aplikasi', 'hati', 'dagang', 'nakal', 'kualitas', 'barang', 'kirim', 'jugs', 'komplain', 'aplikasi', 'jual', 'hati', 'gaessss']"
